,Peso_de_muestra_vegetal_(g),Cantidad_de_N_en_muestra_vegetal_(g),Cantidad_de_C_en_muestra_vegetal_(g),Porcentaje_N_de_la_muestra_vegetal,Porcentaje_C_de_la_muestra_vegetal,Peso_de_muestra_de_fruto_(g),Cantidad_de_N_en_muestra_de_fruto_(g),Cantidad_de_C_en_muestra_de_fruto_(g),Porcentaje_N_de_la_muestra_fruto,Porcentaje_C_de_la_muestra_fruto,Nitrógeno_total_en_planta,Carbono_total_en_planta,Nitrógeno_total_en_fruto,Carbono_total_en_fruto,N1,N2,N3,N4,Primer_peso_fresco_hoja,Primer_peso_fresco_de_raíz,Primer_peso_fresco_planta,Primer_peso_seco_hoja,Primer_peso_seco_de_raíz,Primer_peso_seco_planta,Harvest_Index_S_(His),Root_Index_(Ri),CHLOR,FLV,ANT,NBI,NDVI,PhipII
409,0.0856,0.00178,0.028,2.08041,32.70198,0.1697,0.00361,0.0739,2.12884,43.55282,2.304018691588785,36.242990654205606,0.055649734826163824,1.1392009428403063,323.13858167750726,47.830341722437225,0.0212884,329.02986551380786,15.3,1.7,17.0,1.109,0.219,1.328,0.02306552867320308,0.16487973478168866,28.029,0.592,0.222,47.38,0.624808249509299,0.882
410,0.0809,0.002,0.0262,2.47577,32.40556,0.1374,0.00333,0.0616,2.42488,44.81656,2.207663782447466,28.9203955500618,0.086764192139738,1.6050072780203786,219.59235934400914,91.31648195368778,0.0247045,495.3845582720983,13.366,1.8980000000000001,15.264,0.966,0.115,1.081,0.03854435831180018,0.12704565030146428,28.109,0.637,0.203,44.13,0.636595034214277,0.884
411,0.0837,0.00178,0.0288,2.12368,34.37227,0.1426,0.00287,0.0594,2.00973,41.64903,0.8889366786140979,14.38279569892473,0.08159172510518935,1.6886928471248248,315.36393382911945,208.90861505626333,0.0258651,1704.0507944941958,8.34,1.45,9.790000000000001,0.824,0.11,0.9339999999999999,0.08841104374754657,0.0937758974135299,20.095,0.74,0.273,27.17,0.564861545126476,0.886
412,0.0801,0.00184,0.0262,2.29207,32.6856,0.1434,0.00305,0.0627,2.12712,43.74735,1.83310861423221,26.101872659176035,0.20429044630404464,4.199675732217574,238.37082532092327,238.06679624119334,0.0212712,1207.1018587958006,8.83,2.442,11.272,0.721,0.146,0.867,0.10743247021978636,0.09954700520105138,28.106,0.721,0.204,38.99,0.63903793772677,0.847
413,0.0819,0.00167,0.0245,2.03534,29.86772,0.1456,0.00377,0.0663,2.58651,45.50214,3.6988766788766787,54.26495726495725,0.28873124999999994,5.0776875,349.374852835201,68.55618791610016,0.0200973,481.36667220723734,28.5,3.4,31.9,2.22,0.241,2.4610000000000003,0.057911929826383664,0.11269741523025069,29.281,0.583,0.206,50.23,0.614879817016918,0.829
414,0.0817,0.0022,0.0301,2.69382,36.87281,0.1176,0.00379,0.057,3.22679,48.50043,2.48812729498164,34.04210526315789,0.08730535714285714,1.3130357142857145,333.10543131628896,108.31803291480807,0.0212147,765.4544870350646,12.7,1.8,14.5,1.06,0.123,1.183,0.02848310885405167,0.09567969382497976,27.241,0.614,0.217,44.35,0.620306004055328,0.87
415,0.0819,0.00207,0.0296,2.52274,36.15484,0.1288,0.00373,0.0622,2.89219,48.27171,2.348021978021978,33.57557997557998,0.13367763975155278,2.229155279503105,371.4339947434317,73.42411312563374,0.028921899999999997,788.7641780839182,18.8,2.5,21.3,1.427,0.173,1.6,0.047335821813856184,0.10767463800812174,31.734,0.707,0.194,44.88,0.625949898711621,0.868
416,0.0803,0.00167,0.0282,2.07608,35.10807,0.1271,0.0027,0.0567,2.12147,44.58615,2.368779576587796,39.99975093399751,0.12973170731707315,2.724365853658537,302.6337654778326,52.886665052778916,0.0322679,516.4571161802519,17.448,0.852,18.3,1.374,0.146,1.52,0.050888698159274035,0.14332497270992525,34.161,0.664,0.188,51.43,0.614947316344939,0.857
417,0.0828,0.00208,0.028,2.5125,33.84871,0.1153,0.00271,0.0536,2.35095,46.47664,2.3462801932367148,31.58454106280193,0.08461405030355593,1.6735472679965306,311.52203127878045,191.0780705623789,0.020211,1203.0603545387517,13.8,1.0,14.8,1.156,0.135,1.291,0.03711340206185567,0.12474226804123713,24.436,0.608,0.258,40.21,0.619561989833873,0.872
418,0.0815,0.00138,0.0249,1.69174,30.52549,0.1246,0.00262,0.055,2.10087,44.13774,1.1412515337423312,20.592147239263802,0.3451418940609952,7.245345104333869,271.5931939632962,357.0673209620368,0.021008699999999998,2037.3618377311286,13.062000000000001,0.778,13.84,1.078,0.146,1.224,0.19583840408523637,0.1002219199656382,22.855,0.53,0.244,43.1,0.609756545063273,0.857
419,0.0817,0.00162,0.0289,1.98388,35.42616,0.1273,0.00257,0.056,2.0211,43.9881,2.1514075887392905,38.380048959608324,0.20339945011783186,4.4320502749410835,228.73432553837796,92.98774507968359,0.0235095,500.03505526916143,8.0,1.0,9.0,0.779,0.178,0.9570000000000001,0.08496732026143788,0.15348935273033942,25.719,0.545,0.215,47.23,0.624941210378575,0.857
420,0.0832,0.00192,0.0295,2.3071,35.48949,0.122,0.00278,0.0562,2.2772,46.06647,2.16,33.1875,0.4525247540983607,9.148162295081969,369.8654164846939,189.64208479896638,0.015456099999999999,1084.1225185595988,19.996000000000002,2.644,22.64,1.98,0.193,2.173,0.17503239055517852,0.05464529036920826,24.801,0.535,0.216,46.33,0.627266539816652,0.853
421,0.0813,0.00216,0.0284,2.6572,34.91773,0.1276,0.00198,0.0547,1.55496,42.84197,2.5107011070110703,33.01107011070111,0.2563293103448276,7.081420846394984,388.6729444260592,251.10421412132223,0.015549599999999997,1517.600752782364,15.6,0.8,16.4,1.436,0.154,1.5899999999999999,0.14879435051657822,0.06665525720822561,27.773,0.579,0.203,47.99,0.628488427415372,0.852
